customer ID,order ID,order date,order amount,sex,shipping address
1,1001,2022-02-01,150.00,Male,123 Main St
2,1002,2022-02-02,75.50,Female,456 1st Ave
3,1003,2022-02-03,120.25,Male,789 Park Blvd
4,1004,2022-02-04,200.00,Female,555 Elm St
5,1005,2022-02-05,89.99,Male,444 Oak Ave
1,1006,2022-02-06,,Female,123 Main St
6,1007,2022-02-07,50.00,Male,321 2nd St
2,1008,,100.00,Female,456 1st Ave
3,1009,2022-02-09,80.75,,789 Park Blvd
7,1010,2022-02-10,300.00,Male,
8,1011,2022-02-11,,Female,222 Maple St
9,1012,2022-02-12,150.00,Male,333 Pine Rd
1,1001,2022-02-01,150.00,Male,123 Main St
10,1013,2022-02-13,45.99,Female,777 Lakeview Dr
11,1014,2022-02-14,225.75,Male,888 Sunset Blvd
5,1015,,75.00,Female,444 Oak Ave
12,1016,2022-02-16,,Male,999 Beach Rd
2,1002,2022-02-02,75.50,Female,456 1st Ave
13,1017,2022-02-17,90.00,Male,1010 Ocean Ave
14,1018,,120.50,Female,
15,1019,2022-02-19,200.00,Male,555 Sunrise Blvd
